carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,15.681537068587204
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1416.0749835478373
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9491.878161732044
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5674.2413992723405
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,-31.40018478845559
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,783.2711164093471
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5747.088857972999
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6675.229886359639
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,5710.413915930334
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3278.3140683053152
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,41.949699296872495
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,6265.920572537981
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3428.4587375368174
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,928.4636084259946
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1903.6863586696809
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1607.8467720368594
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5893.286200758988
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5753.0458859571945
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5742.136680758144
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3506.7607988370028
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,5737.18450354329
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,155.41942648571057
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7162.841261481482
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,114.29473261286194
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,6183.168759407614
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5747.591283357669
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,-247.93285935175209
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,539.9678542330953
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2116.7741321721323
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4714.880031442559
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3283.26624552017
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,4003.7741030038833
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5804.074934259753
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3444.8225453353934
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1120.7378222996877
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,342.741463144549
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10813.467121526439
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6514.678437313757
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1706.4599675811332
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,-15.538802374550869
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9709.918112449352
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,13990.405363956625
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,373.961802587688
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,3200.514432389801
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,7661.361841802376
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,-15.538802374550869
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2282.2777584328687
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4071.669384489687
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,871.9799575239103
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,103.88795279848136
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,7505.2601445866785
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9377.403583773867
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2204.980547902027
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,62.26083354096272
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2173.760208458887
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,5566.728700067697
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1675.2396281379933
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5481.967185398647
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,6417.572517923495
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,7105.855185194729
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,13157.862978806234
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9517.643898575658
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13412.577871566204
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,-35.84993661864064
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2753.0229003714667
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3117.260193874762
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,14867.445267408855
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,2329.3594802899133
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1945.3134779271995
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,6944.8013107641755
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1706.4599675811332
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,10104.370894626445
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3117.260193874762
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9917.048857967608
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,5513.187524841787
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9330.82428730149
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3075.6330746172425
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1115.7856450848321
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,13548.368434537811
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,93.4811729841017
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1136.096779328922
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3179.700872761041
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,7246.597925381191
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5850.654230732127
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,3138.0737535035214
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1940.361300712345
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,6265.920572537981
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4880.886083087968
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3642.5513618086106
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2147.4920462306018
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3070.1784720177175
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4720.334634042084
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5855.6064079469825
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4497.342506109922
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6447.788006597295
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3096.4466342460028
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5845.702053517272
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4906.6518199315815
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,6489.4151258548145
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14164.80849387773
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,228.26688518637002
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4309.015618681744
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3226.280169233416
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11307.035524632476
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,4066.7172072748335
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3339.749896422253
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,752.0507769662072
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,337.28686054502305
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,446.30683590367744
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7655.404813818181
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,10959.664464312427
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5487.4217879981725
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1171.766870602246
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3517.670004036052
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5633.116705399491
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,5172.2759178906035
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,155.92185187038058
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,109.34255539800733
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3138.0737535035214
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,5549.862466884451
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,9320.417507487111
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4683.659691999419
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,-591.3565932262882
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,63.768109694973646
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,415.08649646053664
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3548.3879180945223
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,897.7456943675252
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,88.5289957692471
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5487.4217879981725
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1618.25355185124
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,11281.772213173532
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1430.9315151924025
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3127.6669736891417
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1581.5786098085746
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,5539.455687070072
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,103.88795279848136
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5393.760769668754
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7193.559175539952
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,5757.998063172049
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5881.874570175267
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4527.5579947837205
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2100.9127497582276
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3968.10401173056
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,-15.538802374550869
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3542.430890110326
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,7345.211120925466
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9512.691721360803
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,7189.109423709769
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3200.514432389801
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1805.0731631254066
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1291.6960511599495
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,923.5114312111391
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,685.1603462497433
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,2329.3594802899133
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,3564.249300508427
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9747.095479876685
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7956.699003050527
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5472.062830968937
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1069.206348612458
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,762.9599821652573
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,560.7814138618546
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,67.71543614048687
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6535.4919969425155
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,695.5671260641229
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,871.9799575239103
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1394.758998534407
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,166.32863168476115
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,10938.348479298998
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7812.008936418549
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5399.215372268279
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10291.190505900613
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,773.366761979637
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,16286.212223225364
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5539.455687070072
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,51.8540537265817
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,13672.244941541032
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,3242.1415516473207
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,6174.269255747244
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,9626.161448549641
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,509.2499401746263
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,9356.590024145105
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,27.093167652308694
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5789.218402615189
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1157.4127643423517
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,5622.207500200441
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,9854.608179081328
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5445.794668740653
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,17511.197689014167
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,3023.5991755453433
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5135.098550463267
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,119.24690982771654
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,7396.240169228024
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,15285.223736138061
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,-4.629597175500749
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,9590.491357276318
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1407.6779052721395
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,10782.749207467969
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,13194.537920848898
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,15.681537068587204
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,2023.1131138427136
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,509.2499401746263
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,6727.263785431538
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,9356.590024145105
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,0.32258003935203305
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,3002.785615916584
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,819.9460584520111
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,1831.341325353691
