carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,226.86119538709318
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,71.67413985828352
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,226.86119538709318
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,304.45472315149755
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-316.2934989637399
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,71.67413985828352
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7520.652805241134
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6589.530472068276
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9460.49099935125
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1701.1382229107821
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,226.86119538709318
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,5037.659916780183
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1701.1382229107821
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6434.343416539468
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8063.807499591967
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,226.86119538709318
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3175.4152504344706
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,8218.994555120777
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-471.4805544925491
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4727.285805722566
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5736.001666659826
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5658.408138895422
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2011.512333968401
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,382.0482509159024
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3253.0087781988755
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2011.512333968401
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1933.9188062039962
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7287.872221947919
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,-161.1064434349305
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1856.3252784395913
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7443.059277476728
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,382.0482509159024
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,537.2353064447116
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,382.0482509159024
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6434.343416539468
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,71.67413985828352
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,537.2353064447116
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3253.0087781988755
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,226.86119538709318
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1623.5446951463773
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1701.1382229107821
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2244.2929172616145
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,71.67413985828352
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,770.015889737926
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,149.26766762268835
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4727.285805722566
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4028.944055842923
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3175.4152504344706
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,692.4223619735212
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3253.0087781988755
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3253.0087781988755
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4727.285805722566
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3485.78936149209
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9382.897471586846
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9382.897471586846
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1002.7964730311396
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5580.814611131016
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,16987.063192498506
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5658.408138895422
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,847.6094175023304
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,3175.4152504344706
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5580.814611131016
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6511.936944303872
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6201.562833246255
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3175.4152504344706
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5503.221083366612
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9538.084527115656
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,925.2029452667348
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1080.3900007955444
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,149.26766762268835
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,304.45472315149755
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3175.4152504344706
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,304.45472315149755
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6744.717527597086
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1701.1382229107821
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6511.936944303872
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1778.731750675187
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,-471.4805544925491
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1623.5446951463773
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6123.969305481849
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,71.67413985828352
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1468.3576396175677
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9460.49099935125
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5736.001666659826
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,149.26766762268835
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,847.6094175023304
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5736.001666659826
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6744.717527597086
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,5813.5951944242315
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3253.0087781988755
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,-5.919387906121301
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,6201.562833246255
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3485.78936149209
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1002.7964730311396
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1933.9188062039962
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1701.1382229107821
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5580.814611131016
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5503.221083366612
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5658.408138895422
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3408.195833727685
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,5580.814611131016
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,304.45472315149755
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7210.278694183515
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,149.26766762268835
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,6046.375777717445
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5580.814611131016
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,-471.4805544925491
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,459.64177868030674
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2011.512333968401
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4727.285805722566
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3330.6023059632803
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,4184.131111371731
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5813.5951944242315
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3253.0087781988755
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1080.3900007955444
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,304.45472315149755
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11089.955082403749
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6511.936944303872
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1778.731750675187
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,71.67413985828352
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9615.67805488006
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,13417.76091533589
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,304.45472315149755
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,3175.4152504344706
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,7520.652805241134
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,71.67413985828352
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2321.8864450260194
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4106.537583607327
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,770.015889737926
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,149.26766762268835
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,7520.652805241134
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9460.49099935125
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2089.105861732806
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,149.26766762268835
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2089.105861732806
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,5192.846972308993
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1778.731750675187
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5658.408138895422
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5968.782249953039
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,7132.685166419109
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,13417.76091533589
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9538.084527115656
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13495.354443100292
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,-83.51291567052567
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,3175.4152504344706
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3175.4152504344706
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,15745.56674826803
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,2244.2929172616145
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1933.9188062039962
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,7055.091638654705
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1778.731750675187
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9926.05216593768
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3175.4152504344706
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9926.05216593768
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,5658.408138895422
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9382.897471586846
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3175.4152504344706
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1002.7964730311396
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,13340.167387571484
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,149.26766762268835
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1157.9835285599493
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3175.4152504344706
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,7055.091638654705
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5891.188722188635
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,3175.4152504344706
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1856.3252784395913
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,6201.562833246255
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4882.472861251375
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3253.0087781988755
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2166.6993894972097
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3253.0087781988755
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4649.69227795816
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5968.782249953039
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4416.9116946649465
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6279.156361010659
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3175.4152504344706
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5813.5951944242315
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4960.066389015779
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,6279.156361010659
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14193.696192979936
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,304.45472315149755
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4727.285805722566
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3253.0087781988755
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11322.735665696962
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,4028.944055842923
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3563.3828892564948
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,847.6094175023304
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,382.0482509159024
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,459.64177868030674
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7753.433388534348
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,10934.76802687494
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5580.814611131016
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1390.7641118531628
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3253.0087781988755
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5580.814611131016
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,4882.472861251375
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,149.26766762268835
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,71.67413985828352
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3175.4152504344706
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,5580.814611131016
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,9382.897471586846
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4727.285805722566
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,-471.4805544925491
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,-316.2934989637399
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,459.64177868030674
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3408.195833727685
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,847.6094175023304
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,71.67413985828352
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5580.814611131016
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1701.1382229107821
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,11089.955082403749
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1701.1382229107821
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3175.4152504344706
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1778.731750675187
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,5580.814611131016
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,149.26766762268835
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5580.814611131016
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7365.465749712324
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,5580.814611131016
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5891.188722188635
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4727.285805722566
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2089.105861732806
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3951.350528078518
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,71.67413985828352
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3640.9764170208996
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,7132.685166419109
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9460.49099935125
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,7132.685166419109
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3175.4152504344706
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1856.3252784395913
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1313.170584088759
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,925.2029452667348
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,614.8288342091164
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,2244.2929172616145
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,3330.6023059632803
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9382.897471586846
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7908.620444063157
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5503.221083366612
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,925.2029452667348
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,692.4223619735212
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,459.64177868030674
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,71.67413985828352
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6511.936944303872
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,614.8288342091164
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,770.015889737926
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1623.5446951463773
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,149.26766762268835
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11089.955082403749
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7598.246333005538
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5503.221083366612
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10081.239221466489
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,692.4223619735212
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,16288.721442618866
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5580.814611131016
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,149.26766762268835
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,13650.541498629102
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,3175.4152504344706
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,5580.814611131016
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,9770.86511040887
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,304.45472315149755
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,9460.49099935125
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,-238.6999711993351
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5580.814611131016
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1002.7964730311396
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,5736.001666659826
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,9926.05216593768
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5580.814611131016
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,17219.843775791716
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,3175.4152504344706
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5115.253444544587
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,226.86119538709318
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,7443.059277476728
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,15280.005581681602
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,-83.51291567052567
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,9538.084527115656
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,847.6094175023304
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,10934.76802687494
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,13340.167387571484
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,71.67413985828352
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,2011.512333968401
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,304.45472315149755
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,6744.717527597086
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,9460.49099935125
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,-5.919387906121301
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,3175.4152504344706
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,770.015889737926
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,1778.731750675187
